title, artist, album, type, year, bpmHuman, bpmFromFile, duration, path, tstart, tend,author, singer, composer, ID, size
Rockin' Robin,Bobby Day,Rock And Roll,cortina,0,164.1075928785885,0.0,153400,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Rockin' Robin-BOBBY DAY-ROCK AND ROLL-CORTINA.mp3,0,152769,Unknown,Unknown,Unknown,1,6147213
Last Night,Chris Anderson,Madisson,cortina,0,0.0,0.0,206210,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Last Night-CHRIS ANDERSON-MADISSON-CORTINA.mp3,0,206179,Unknown,Unknown,Unknown,2,8259019
Centerfold,J. Geils Band,Houseparty: Anthology Disc 2,cortina,1982,0.0,0.0,216502,/home/hoonakker/media/tango-propres-HQ/CORTINA/1982-Centerfold-J. GEILS BAND-HOUSEPARTY: ANTHOLOGY DISC 2-CORTINA.mp3,0,216462,Unknown,Unknown,Unknown,3,8661403
Over And Over,Bobby Day,ROCK AND ROLL,cortina,0,0.0,0.0,138814,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Over And Over-BOBBY DAY-ROCK AND ROLL-CORTINA.mp3,84,138777,Unknown,Unknown,Unknown,4,5560438
Johnny B. Good,Chuck Berry,ROCK AND ROLL,cortina,0,0.0,0.0,159242,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Johnny B Good-CHUCK BERRY-ROCK AND ROLL-CORTINA.mp3,0,158600,Unknown,Unknown,Unknown,5,6378369
Happy,Pharrell Williams ,Happy,cortina,2013,0.0,0.0,230582,/home/hoonakker/media/tango-propres-HQ/CORTINA/2013-Happy-PHARRELL WILLIAMS -HAPPY-CORTINA.mp3,0,230557,Unknown,Unknown,Unknown,6,9234827
Ping Pong,Dimie Cat,Dream'up,cortina,2012,0.0,0.0,173348,/home/hoonakker/media/tango-propres-HQ/CORTINA/2012-Ping Pong-DIMIE CAT-DREAM'UP-CORTINA.mp3,0,171926,Unknown,Unknown,Unknown,7,6943297
Dim, Dim The Lights,Bill Haley,ROCK AND ROLL,cortina,0,0.0,0.0,150200,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Dim, Dim The Lights-BILL HALEY-ROCK AND ROLL-CORTINA.mp3,0,150225,Unknown,Unknown,Unknown,8,6018569
Rock Around The Clock,Chubby Checker,ROCK AND ROLL,cortina,0,0.0,0.0,131700,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Rock Around The Clock-CHUBBY CHECKER-ROCK AND ROLL-CORTINA.mp3,26,131761,Unknown,Unknown,Unknown,9,5279093
I Can Help,Billy Swan,ROCK AND ROLL,cortina,0,0.0,0.0,175000,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-I Can Help-BILLY SWAN-ROCK AND ROLL-CORTINA.mp3,0,174997,Unknown,Unknown,Unknown,10,7011166
Blue Suede Shoes,Carl Perkins,ROCK AND ROLL,cortina,2008,0.0,0.0,133407,/home/hoonakker/media/tango-propres-HQ/CORTINA/2008-Blue Suede Shoes-CARL PERKINS-ROCK AND ROLL-CORTINA.mp3,0,133366,Unknown,Unknown,Unknown,11,5343980
Sugar,Robin Schulz Ft. Francesco Yates,Sugar,cortina,2015,0.0,0.0,218984,/home/hoonakker/media/tango-propres-HQ/CORTINA/2015-Sugar-ROBIN SCHULZ FT. FRANCESCO YATES-SUGAR-CORTINA.mp3,0,218958,Unknown,Unknown,Unknown,12,8760702
Moving Stones,Hazmat Modine,Unknown,cortina,0,0.0,0.0,239700,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Moving Stones-HAZMAT MODINE-UNKNOWN-CORTINA.mp3,58,239710,Unknown,Unknown,Unknown,13,9591329
Birth Of The Boogie,Bill Haley,ROCK AND ROLL,cortina,0,0.0,0.0,133616,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Birth Of The Boogie-BILL HALEY-ROCK AND ROLL-CORTINA.mp3,0,133584,Unknown,Unknown,Unknown,14,5352303
Let's Twist Again,Chubby Checker,ROCK AND ROLL,cortina,0,0.0,0.0,141035,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Let's Twist Again-CHUBBY CHECKER-ROCK AND ROLL-CORTINA.mp3,0,140989,Unknown,Unknown,Unknown,15,5649353
You Can't Win,James Hunter,People Gonna Talk,cortina,0,0.0,0.0,148244,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-You Can't Win-JAMES HUNTER-PEOPLE GONNA TALK-CORTINA.mp3,0,148215,Unknown,Unknown,Unknown,16,5931063
Thirteen Women,Bill Haley,ROCK AND ROLL,cortina,0,0.0,0.0,171990,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Thirteen Women-BILL HALEY-ROCK AND ROLL-CORTINA.mp3,0,171958,Unknown,Unknown,Unknown,17,6888788
Rock Around The Clock,Bill Haley,ROCK AND ROLL,cortina,0,0.0,0.0,131160,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Rock Around The Clock-BILL HALEY-ROCK AND ROLL-CORTINA.mp3,20,131128,Unknown,Unknown,Unknown,18,5253986
I Get Around,The Beach Boys,20 Good Vibrations - The Greatest Hits,cortina,0,0.0,0.0,132200,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-I Get Around-THE BEACH BOYS-20 GOOD VIBRATIONS - THE GREATEST HITS-CORTINA.mp3,10,132231,Unknown,Unknown,Unknown,19,5291688
(on Va) Déconner,CharlElie Couture,Unknown,cortina,0,0.0,0.0,234475,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-(on Va) Déconner-CHARLELIE COUTURE-UNKNOWN-CORTINA.mp3,0,234449,Unknown,Unknown,Unknown,20,9380285
Burn That Candle,Bill Haley,ROCK AND ROLL,cortina,0,0.0,0.0,164519,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Burn That Candle-BILL HALEY-ROCK AND ROLL-CORTINA.mp3,0,164470,Unknown,Unknown,Unknown,21,6589651
Gimme Little Sign,Brenton Wood,ROCK AND ROLL,cortina,0,0.0,0.0,135131,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Gimme Little Sign-BRENTON WOOD-ROCK AND ROLL-CORTINA.mp3,0,135090,Unknown,Unknown,Unknown,22,5412974
Onde Sensuelle,M,Unknown,cortina,0,0.0,0.0,194168,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Onde Sensuelle-M-UNKNOWN-CORTINA.mp3,0,194134,Unknown,Unknown,Unknown,23,7768138
Somewhere Over The Rainbow,ISRAEL KAMAKAWIWOʻOLE,Unknown,cortina,0,0.0,0.0,211584,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Somewhere Over The Rainbow-ISRAEL KAMAKAWIWOʻOLE-UNKNOWN-CORTINA.mp3,730,208848,Unknown,Unknown,Unknown,24,8474010
Twist And Shout,Beatles,ROCK AND ROLL,cortina,0,0.0,0.0,152711,/home/hoonakker/media/tango-propres-HQ/CORTINA/0-Twist And Shout-BEATLES-ROCK AND ROLL-CORTINA.mp3,4,152674,Unknown,Unknown,Unknown,25,6116886
Downtown,Macklemore & Ryan Lewis,Downtown,cortina,2015,0.0,0.0,292362,/home/hoonakker/media/tango-propres-HQ/CORTINA/2015-Downtown-MACKLEMORE & RYAN LEWIS-DOWNTOWN-CORTINA.mp3,0,292326,Unknown,Unknown,Unknown,26,11695966
Caricias,Francisco Lomuto,Orquesta Francisco Lomuto 1927-1940,tango,1937,0.0,0.0,171700,/home/hoonakker/media/tango-propres-HQ/TANGO/FRANCISCO LOMUTO/1937-Caricias - Jorge Omar - 1937-FRANCISCO LOMUTO-ORQUESTA FRANCISCO LOMUTO 1927-1940-TANGO.mp3,0,168991,Alfredo Bigeschi,Jorge Omar,Juan Martí,27,3459257
Misa de once,Francisco Lomuto,Orquesta Francisco Lomuto 1927-1940,tango,1929,0.0,0.0,205800,/home/hoonakker/media/tango-propres-HQ/TANGO/FRANCISCO LOMUTO/1929-Misa De Once - Charlo-FRANCISCO LOMUTO-ORQUESTA FRANCISCO LOMUTO 1927-1940-TANGO.mp3,0,205771,Armando Tagini,Charlo,Juan José Guichandut,28,8233979
Chique,Francisco Lomuto,Orquesta Francisco Lomuto 1927-1940,tango,1927,0.0,0.0,191200,/home/hoonakker/media/tango-propres-HQ/TANGO/FRANCISCO LOMUTO/1927-Chique - Instrumental-FRANCISCO LOMUTO-ORQUESTA FRANCISCO LOMUTO 1927-1940-TANGO.mp3,84,188420,Ricardo Luis Brignolo,Unnkown,Ricardo Luis Brignolo,29,3616170
Condena,Francisco Lomuto,Unknown,tango,1937,0.0,0.0,159600,/home/hoonakker/media/tango-propres-HQ/TANGO/FRANCISCO LOMUTO/0-condena-FRANCISCO LOMUTO-UNKNOWN-TANGO.mp3,0,158120,Enrique Santos Discépolo,Unnkown,Enrique Santos Discépolo y Francisco Pracánico,30,3835613
Dímelo al oído,Francisco Lomuto,Unknown,tango,1945,0.0,0.0,165585,/home/hoonakker/media/tango-propres-HQ/TANGO/FRANCISCO LOMUTO/1945-Dimelo-FRANCISCO LOMUTO-UNKNOWN-TANGO.mp3,0,159131,Francisco Lomuto,Alberto Rivera,Francisco Lomuto,31,2649767
Otra Vez,Francisco Lomuto,Coleccion 78 R.P. M: 1931 - 1950,tango,1938,0.0,0.0,157649,/home/hoonakker/media/tango-propres-HQ/TANGO/FRANCISCO LOMUTO/2005-Otra Vez-FRANCISCO LOMUTO-COLECCION 78 R.P. M: 1931 - 1950-TANGO.mp3,0,156014,José María Contursi,Jorge Omar,Jorge Argentino Fernández,33,2522743
Qué linda es la vida (2),Francisco Lomuto,Álbum Desconocido (10/06/2008 13:42:51),tango,1941,0.0,0.0,158928,/home/hoonakker/media/tango-propres-HQ/TANGO/FRANCISCO LOMUTO/1941-Que Linda Es La Vida-FRANCISCO LOMUTO-ALBUM DESCONOCIDO (10-06-2008 13:42:51)-TANGO.mp3,0,157111,Alfredo Navarrine,Jorge Omar,Lucio Demare,34,2543176
Si Dejaras De Quererme,Juan Arvizu,Numero 181,tango,1979,0.0,0.0,163900,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN ARVIZU/0-Si Dejaras De Quererme-JUAN ARVIZU-NUMERO 181-TANGO.mp3,0,161917,Unknown,Unknown,Unknown,35,1967353
Florida,Enrique Rodriguez,Álbum Desconocido (13-02-2006 1:04:08),tango,1941,0.0,0.0,168700,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/0-Florida-ENRIQUE RODRIGUEZ-ALBUM DESCONOCIDO (13-02-2006 1:04:08)-TANGO.mp3,0,169117,Antonio Polito,Unnkown,Raimundo Petillo,36,2704394
La Torcacita,Enrique Rodriguez,Solos De Orquesta,tango,1940,0.0,0.0,147700,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/2003-La Torcacita-ENRIQUE RODRIGUEZ-SOLOS DE ORQUESTA-TANGO.mp3,0,144386,Unnkown,Unnkown,José Martínez,37,2367619
Zorro Gris,Enrique Rodriguez,Solos De Orquesta,tango,1946,0.0,0.0,157200,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/2003-Zorro Gris-ENRIQUE RODRIGUEZ-SOLOS DE ORQUESTA-TANGO.mp3,220,154226,Francisco García Jiménez,Unnkown,Rafael Tuegols,38,2519824
Expresion Campera,Enrique Rodriguez,Solos De Orquesta,tango,1942,0.0,0.0,156709,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/2003-Expresion Campera-ENRIQUE RODRIGUEZ-SOLOS DE ORQUESTA-TANGO.mp3,0,153546,Unnkown,Unnkown,Unnkown,39,2507731
Jueves,Enrique Rodriguez,Solos De Orquesta,tango,1941,0.0,0.0,177700,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/2003-Jueves-ENRIQUE RODRIGUEZ-SOLOS DE ORQUESTA-TANGO.mp3,0,174885,Unnkown,Unnkown,Udelino Toranzo y Rafael Rossi,40,2848420
El Morochito,Enrique Rodriguez,Álbum Desconocido (15/05/2006 15:39:21),tango,1941,0.0,0.0,154021,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/2004-El Morochito-ENRIQUE RODRIGUEZ-ALBUM DESCONOCIDO (15-05-2006 15:39:21)-TANGO.mp3,0,151369,Gerónimo Gradito,Unnkown,Vicente Greco,41,2464780
Son Cosas Del Bandoneon,Enrique Rodriguez,Álbum Desconocido (15/05/2006 15:27:56),tango,1939,0.0,0.0,161800,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/2002-Son Cosas Del Bandoneon-ENRIQUE RODRIGUEZ-ALBUM DESCONOCIDO (15-05-2006 15:27:56)-TANGO.mp3,39,158928,Enrique Cadícamo,Roberto Flores,Enrique Rodríguez,42,2594467
Un Copetin,Enrique Rodriguez,Álbum Desconocido (15/05/2006 15:27:56),tango,1939,0.0,0.0,175000,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/2002-Un Copetin-ENRIQUE RODRIGUEZ-ALBUM DESCONOCIDO (15-05-2006 15:27:56)-TANGO.mp3,84,172368,José Fernández,Roberto Flores,Juan Maglio,43,2805052
Dejame Ser Asi,Enrique Rodriguez,Álbum Desconocido (15/05/2006 15:27:56),tango,1938,0.0,0.0,150200,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/2002-Dejame Ser Asi-ENRIQUE RODRIGUEZ-ALBUM DESCONOCIDO (15-05-2006 15:27:56)-TANGO.mp3,220,147411,Francisco Gorrindo,Roberto Flores,Enrique Rodríguez,44,2408902
Otra Noche,Francisco Canaro,Álbum Desconocido (08/06/2008 10:03:50),tango,1944,0.0,0.0,157800,/home/hoonakker/media/tango-propres-HQ/TANGO/FRANCISCO CANARO/2002-Otra Noche-FRANCISCO CANARO-ALBUM DESCONOCIDO (08-06-2008 10:03:50)-TANGO.mp3,0,155238,Rodolfo Sciammarella,Carlos Roldan,Rodolfo Sciammarella,45,2529832
Nada Mas Que Un Corazon,Pedro Laurenz,Pedro Laurenz - Creaciones Inolvidables Con Podesta Y Bermudez,tango,1944,0.0,0.0,184200,/home/hoonakker/media/tango-propres-HQ/TANGO/PEDRO LAURENZ/1944-Nada Mas Que Un Corazon-PEDRO LAURENZ-PEDRO LAURENZ - CREACIONES INOLVIDABLES CON PODESTA Y BERMUDEZ-TANGO.mp3,0,178504,Carlos Bahr,Carlos Bermudez,Manuel Sucher,46,4424147
La Madrugada,Pedro Laurenz,Pedro Laurenz - Creaciones Inolvidables Con Podesta Y Bermudez,tango,1944,0.0,0.0,165709,/home/hoonakker/media/tango-propres-HQ/TANGO/PEDRO LAURENZ/1944-La Madrugada-PEDRO LAURENZ-PEDRO LAURENZ - CREACIONES INOLVIDABLES CON PODESTA Y BERMUDEZ-TANGO.mp3,0,160390,Cátulo Castillo,Carlos Bermudez,Ángel Maffia,47,3982275
En La Huella Del Dolor,Osvaldo Fresedo,Álbum Desconocido (17-02-2006 19:54:35),tango,1934,0.0,0.0,168200,/home/hoonakker/media/tango-propres-HQ/TANGO/OSVALDO FRESEDO/0-En La Huella Del Dolor-OSVALDO FRESEDO-ALBUM DESCONOCIDO (17-02-2006 19:54:35)-TANGO.mp3,248,166605,Guillermo Del Ciancio,Roberto Ray,Guillermo Del Ciancio,48,2696054
Sueño Azul,Osvaldo Fresedo,Álbum Desconocido (17/05/2006 8:27:08),tango,1937,0.0,0.0,211000,/home/hoonakker/media/tango-propres-HQ/TANGO/OSVALDO FRESEDO/1937-Sueño Azul-OSVALDO FRESEDO-ALBUM DESCONOCIDO (17-05-2006 8:27:08)-TANGO.mp3,778,206019,Tibor Barczi,Roberto Ray,Tibor Barczi,49,3380512
No quiero verte llorar,Osvaldo Fresedo,Álbum Desconocido (17-02-2006 19:54:35),tango,1937,0.0,0.0,160900,/home/hoonakker/media/tango-propres-HQ/TANGO/OSVALDO FRESEDO/0-No Quiero Verte Llegar-OSVALDO FRESEDO-ALBUM DESCONOCIDO (17-02-2006 19:54:35)-TANGO.mp3,1093,159409,Rodolfo Sciammarella,Roberto Ray,Agustín Magaldi,50,2580128
Ojos tristes (Ojos muertos),Osvaldo Fresedo,Osvaldo Fresedo 1938-1948 (Collección 78 Rpm),tango,1938,0.0,0.0,156700,/home/hoonakker/media/tango-propres-HQ/TANGO/OSVALDO FRESEDO/2004-Ojos Muertos (RIriarte-ANavarrine) 1938-OSVALDO FRESEDO-OSVALDO FRESEDO 1938-1948 (COLLECCION 78 RPM)-TANGO.mp3,0,154659,Alfredo Navarrine,Roberto Ray,Rafael Iriarte,51,2635808
El mareo,Osvaldo Fresedo,Tangos De Salon Canta Roberto Ray,tango,1933,0.0,0.0,168800,/home/hoonakker/media/tango-propres-HQ/TANGO/OSVALDO FRESEDO/1933-El Mareo - Roberto Ray-OSVALDO FRESEDO-TANGOS DE SALON CANTA ROBERTO RAY-TANGO.mp3,88,167940,Mario César Gomila,Roberto Ray,Julio De Caro,52,6753334
Nunca Tuvo Novio,FRANCINI-PONTIER,Carlitos,tango,1947,0.0,0.0,183900,/home/hoonakker/media/tango-propres-HQ/TANGO/PONTIER/0-Nunca Tuvo Novio-PONTIER-CARLITOS-TANGO.mp3,704,180653,Enrique Cadícamo,Roberto Rufino,Agustín Bardi,53,2944608
Jamas Retornaras,Miguel Calo,Álbum Desconocido (13-02-2006 0:01:13),tango,1942,0.0,0.0,151800,/home/hoonakker/media/tango-propres-HQ/TANGO/MIGUEL CALO/0-Jamas Retornaras-MIGUEL CALO-ALBUM DESCONOCIDO (13-02-2006 0:01:13)-TANGO.mp3,0,147834,Osmar Maderna y Miguel Caló,Raúl Berón,Osmar Maderna y Miguel Caló,54,2434595
Remolino,Francini-Pontier,Carlitos,tango,1946,0.0,0.0,195900,/home/hoonakker/media/tango-propres-HQ/TANGO/FRANCINI-PONTIER/0-Remolino(raul Berón)-FRANCINI-PONTIER-CARLITOS-TANGO.mp3,377,194214,José Rótulo,Raúl Berón,Alfredo De Angelis,55,3137705
Corazon no le hagas caso,Miguel CALO,Con Berón,tango,1942,0.0,0.0,179700,/home/hoonakker/media/tango-propres-HQ/TANGO/CALO/2000-Coarazón No Le Hagas Caso-CALO-CON BERON-TANGO.mp3,0,176448,Carlos Bahr,Raúl Berón,Armando Pontier,56,4315136
Tristezas De La Calle Corrientes,Miguel Caló,Con Berón,tango,1942,0.0,0.0,165900,/home/hoonakker/media/tango-propres-HQ/TANGO/MIGUEL CALO/1942-Tristezas De La Calle Corrientes-MIGUEL CALO-CON BERON-TANGO.mp3,0,162619,Homero Expósito,Raúl Berón,Domingo Federico,57,3985408
La abandone y no sabia,Miguel CALO,Con Berón,tango,1944,0.0,0.0,169655,/home/hoonakker/media/tango-propres-HQ/TANGO/CALO/0-La Abandoné Y No Sabía-CALO-CON BERON-TANGO.mp3,0,166356,José Canet,Raúl Berón,José Canet,58,4075520
Trasnochando,Miguel CALO,Con Berón,tango,1942,0.0,0.0,183500,/home/hoonakker/media/tango-propres-HQ/TANGO/MIGUEL CALO RAUL BERON/0-Trasnochando-MIGUEL CALO RAUL BERON-CON BERON-TANGO.mp3,0,180151,Santiago Adamini,Raúl Berón,Armando Baliotti,59,4405248
Griseta,Carlos Di Sarli,Unknown,tango,1941,0.0,0.0,177672,/home/hoonakker/media/tango-propres-HQ/TANGO/CARLOS DI SARLI/0-Griseta_2-CARLOS DI SARLI-UNKNOWN-TANGO.mp3,99,173479,José González Castillo,Roberto Rufino,Enrique Delfino,60,2842838
Seamos Amigos,Juan D'Arienzo,Unknown,tango,1944,0.0,0.0,161000,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN D'ARIENZO/0-Seamos Amigos_2-JUAN D'ARIENZO-UNKNOWN-TANGO.mp3,0,156474,Príncipe Cubano,Alberto Echague,Domingo Rullo,61,3869928
Con Todo Mi Corazón,Juan D'Arienzo,Echagüe,tango,1946,0.0,0.0,154500,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN D'ARIENZO/0-Con Todo Mi Corazón-JUAN D'ARIENZO-ECHAGUE-TANGO.mp3,41,151778,Reinaldo Yiso,Alberto Echague,Ángel Condercuri,62,3710976
A suerte y verdad,Juan D'Arienzo,Untitled - 18-11-05 (5),tango,1944,0.0,0.0,150987,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN D'ARIENZO/0-Suerte Y Verdad-JUAN D'ARIENZO-UNTITLED - 18-11-05 (5)-TANGO.mp3,0,150952,Carlos Waiss,Alberto Echague,Carlos Parodi,63,6047901
La Madrugada,Juan D'Arienzo,Untitled - 18-11-05 (5),tango,1944,0.0,0.0,157700,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN D'ARIENZO/0-La Madrugada-JUAN D'ARIENZO-UNTITLED - 18-11-05 (5)-TANGO.mp3,0,153243,Cátulo Castillo,Alberto Echague,Ángel Maffia,64,3787632
Muchachos Arranquemos Para El Centro,Juan D'Arienzo,Unknown,tango,1954,0.0,0.0,175800,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN D'ARIENZO/1954-Muchachos Arranquemos Para El Centro-JUAN D'ARIENZO-UNKNOWN-TANGO.flac,0,175876,Francisco Martínez,Alberto Echague,Roberto Rufino,65,19521215
Este Carnaval,Juan D'Arienzo,Echagüe,tango,1951,0.0,0.0,136500,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN D'ARIENZO/0-Este Carnaval-JUAN D'ARIENZO-ECHAGUE-TANGO.mp3,126,133796,Luis Caruso,Alberto Echague,Miguel Ángel Caruso,66,3276800
Yo No Espero Nada,Juan D'Arienzo,Unknown,tango,1945,0.0,0.0,179200,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN D'ARIENZO/0-Yo No Espero Nada-JUAN D'ARIENZO-UNKNOWN-TANGO.mp3,104,174579,Julio Alberto,Alberto Echague,Salvador Alonso,67,4303612
No Nos Veremos Nunca,Juan D'Arienzo,Untitled - 18-11-05 (5),tango,1944,0.0,0.0,210724,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN D'ARIENZO/0-No Nos Veremos Nunca-JUAN D'ARIENZO-UNTITLED - 18-11-05 (5)-TANGO.mp3,0,206109,Carlos Waiss,Alberto Echague,Juan D'Arienzo,68,5064873
Así es la milonga,Ricardo TANTURI,Álbum Desconocido (13-02-2006 17:00:08),milonga,1942,111.94127816709803,0.0,132536,/home/hoonakker/media/tango-propres-HQ/TANGO/TANTURI/0-Asi Es La Milonga-TANTURI-ALBUM DESCONOCIDO (13-02-2006 17:00:08)-MILONGA.mp3,0,130653,Oscar Rubens,Alberto Castillo,Oscar Rubens,69,2121845
Mi Vieja Linda,Emilio Pellejero,Grandes Orquestas De Tango En Uruguay En Los 40,milonga,0,0.0,0.0,146500,/home/hoonakker/media/tango-propres-HQ/TANGO/EMILIO PELLEJERO/1941-Mi Vieja Linda-EMILIO PELLEJERO-GRANDES ORQUESTAS DE TANGO EN URUGUAY EN LOS 40-MILONGA.mp3,0,144626,Unknown,Enalmar De Maria,Unknown,70,2799945
Destino De Flor,Juan D'Arienzo,Unknown,tango,1957,0.0,0.0,177000,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN D'ARIENZO/0-Destino De Flor-JUAN D'ARIENZO-UNKNOWN-TANGO.mp3,6,175506,Alejandro Romay,Jorge Valdez,Roberto Rufino,71,2835103
Adios Corazon,Juan D'Arienzo,Album,tango,1958,0.0,0.0,191700,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN D'ARIENZO/0-Adios Corazon-JUAN D'ARIENZO-ALBUM-TANGO.mp3,12,189929,Héctor Sapelli,Jorge Valdez,Lalo Etchegoncelay,72,3069578
No Me Extraña,Juan D'Arienzo,Unknown,tango,1958,0.0,0.0,187400,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN D'ARIENZO/0-No Me Extraña-JUAN D'ARIENZO-UNKNOWN-TANGO.mp3,42,185670,Carlos Bahr,Jorge Valdez,Antonio Alfonso Romano y Alberto Celenza,73,3000615
Mi Amor Y Tu Amor,Juan D'Arienzo,Unknown,tango,1957,0.0,0.0,174000,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN D'ARIENZO/0-Mi Amor Y Tu Amor-JUAN D'ARIENZO-UNKNOWN-TANGO.mp3,0,172178,Reinaldo Yiso,Jorge Valdez,Enrique Alessio,74,2786620
????,Juan D'Arienzo,Unknown,tango,11,0.0,0.0,201400,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN D'ARIENZO/0-Track 20-JUAN D'ARIENZO-UNKNOWN-TANGO.mp3,12,201430,Unknown,Unknown,Unknown,75,3225059
Y no puede ser,Osvaldo Fresedo,Álbum Desconocido (18-02-2006 13:33:03),tango,1939,0.0,0.0,146700,/home/hoonakker/media/tango-propres-HQ/TANGO/OSVALDO FRESEDO/0-Y No Pudo Ser-OSVALDO FRESEDO-ALBUM DESCONOCIDO (18-02-2006 13:33:03)-TANGO.mp3,0,142784,José María Contursi,Ricardo Ruiz,Aníbal Troilo,76,2352863
Buscandote,Osvaldo FRESEDO,Álbum Desconocido (17/05/2006 8:27:08),tango,1941,0.0,0.0,174500,/home/hoonakker/media/tango-propres-HQ/TANGO/INTERPRETE DESCONOCIDO/0-Buscandote-INTERPRETE DESCONOCIDO-ALBUM DESCONOCIDO (17-05-2006 8:27:08)-TANGO.mp3,103,169785,Eduardo Scalise,Ricardo Ruiz,Eduardo Scalise,77,2797129
Mas Alla,Osvaldo Fresedo,Álbum Desconocido (18-02-2006 13:33:03),tango,1939,0.0,0.0,160500,/home/hoonakker/media/tango-propres-HQ/TANGO/OSVALDO FRESEDO/0-Mas Alla-OSVALDO FRESEDO-ALBUM DESCONOCIDO (18-02-2006 13:33:03)-TANGO.mp3,0,156199,José María Contursi,Ricardo Ruiz,Joaquín Mora,78,2573873
Despues Del Carnaval,Osvaldo Fresedo,Álbum Desconocido (18-02-2006 13:33:03),tango,1941,0.0,0.0,164400,/home/hoonakker/media/tango-propres-HQ/TANGO/OSVALDO FRESEDO/0-Despues Del Carnaval-OSVALDO FRESEDO-ALBUM DESCONOCIDO (18-02-2006 13:33:03)-TANGO.mp3,0,160674,José Amuchástegui Keen,Ricardo Ruiz,José Amuchástegui Keen,79,2635589
La Espuela,Juan D'Arienzo,Unknown,milonga,1946,111.22724988954249,0.0,161400,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN D'ARIENZO/0-La Espuela-JUAN D'ARIENZO-UNKNOWN-MILONGA.mp3,194,154800,Unnkown,Unnkown,E. Pigrau Güidini,80,3880904
Milonga vieja milonga,Juan D'ARIENZO,Unknown,milonga,1937,101.753271494066,0.0,154936,/home/hoonakker/media/tango-propres-HQ/TANGO/JUAN D'ARIENZO/0-Vieja Milonga-JUAN D'ARIENZO-UNKNOWN-MILONGA.mp3,0,153476,Unnkown,Unnkown,Francisco Aranaz,81,3725899
Don Agustin Bardi,Horacio Salgan,Tango De Colección 16,tango,1950,0.0,0.0,180500,/home/hoonakker/media/tango-propres-HQ/TANGO/HORACIO SALGAN/1950-Don Agustin Bardi-HORACIO SALGAN-TANGO DE COLECCION 16-TANGO.mp3,0,176438,Unnkown,Unnkown,Horacio Salgán,82,4335056
Mano Brava,Horacio Salgan,Siga el Corso,tango,2016,0.0,0.0,174700,/home/hoonakker/media/tango-propres-HQ/TANGO/HORACIO SALGAN/2005-Mano Brava-HORACIO SALGAN-TANGO DE COLECCION 16-TANGO.mp3,86,171452,Unknown,Unknown,Unknown,83,4195249
