title, artist, album, type, year, bpmHuman, bpmFromFile, duration, path, tstart, tend,author, singer, composer, ID, size
Café,Enrique Rodriguez,Unknown,tango,1946,0.0,0.0,191500,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1946-Café-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,0,188335,Rafael Tuegols,Armando Moreno,Enrique Rodríguez,2084,2097472
Silbando un Tango,Enrique RODRIGUEZ,Unknown,tango,1944,0.0,0.0,147400,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/0-Silbando-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,0,144572,?,Armando Moreno,?,2085,1766800
Danza Maligna,Enrique Rodriguez,Unknown,tango,1940,0.0,0.0,144587,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1940-Danza Maligna-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,516,143983,Claudio Frollo,Armando Moreno,Fernando Randle,2086,1947398
Flor De Lis,Enrique Rodriguez,Unknown,tango,1944,0.0,0.0,163600,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1944-Flor De Lis-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,25,158124,Horacio Sanguinetti,Armando Moreno,Enrique Rodríguez,2087,2116565
El Rápido,Enrique Rodriguez,Unknown,tango,1954,0.0,0.0,190104,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1954-El Rápido-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,0,190081,Unnkown,Unnkown,Roberto Firpo,2088,2302624
La Rumbita Candombe,Enrique Rodriguez,Unknown,milonga,1943,107.76550181654086,0.0,177768,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1943-La Rumbita Candombe-ENRIQUE RODRIGUEZ-UNKNOWN-MILONGA.mp3,0,174558,Mario Batistella,Armando Moreno,Osvaldo Novarro y Tito Luar,2089,2460760
Giuseppe El Zapatero,Enrique Rodriguez,Unknown,tango,1945,0.0,0.0,161900,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1945-Giuseppe El Zapatero-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,67,158973,Guillermo Del Ciancio,Armando Moreno,Guillermo Del Ciancio,2090,2313976
El Encopao,Enrique Rodriguez,Unknown,tango,1942,0.0,0.0,149995,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1942-El Encopao-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,0,149970,Enrique Dizeo,Armando Moreno,Osvaldo Pugliese,2091,2445523
Mariqueta no mires al puerto,Enrique RODRIGUEZ,Unknown,tango,1945,0.0,0.0,181600,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/0-No Mires Al Puerto-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,1133,178003,?,Armando Moreno,?,2092,2133880
Zorro Gris,Enrique Rodriguez,Unknown,tango,1946,0.0,0.0,156800,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1946-Zorro Gris-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,47,153602,Francisco García Jiménez,Unnkown,Rafael Tuegols,2093,1535797
Caballero De La Luna,Enrique Rodriguez,Unknown,vals,1945,64.27888742035803,0.0,152058,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1945-Caballero De La Luna_2-ENRIQUE RODRIGUEZ-UNKNOWN-VALS.mp3,17,152028,Unnkown,Armando Moreno,Unnkown,2094,6090754
Las Espigadoras,Enrique Rodriguez,Unknown,vals,1938,68.55913736301073,0.0,166608,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1938-Las Espigadoras-ENRIQUE RODRIGUEZ-UNKNOWN-VALS.mp3,309,163649,Unnkown,Roberto Flores,Unnkown,2095,1719778
Clavelito En Flor,Enrique Rodriguez,Unknown,vals,1937,70.92791337694807,0.0,169440,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1937-Clavelito En Flor-ENRIQUE RODRIGUEZ-UNKNOWN-VALS.mp3,0,165536,José María Casais,Roberto Flores,Enrique Rodríguez,2096,1810456
Esto Es Puro Compas,Enrique Rodriguez,Unknown,tango,1941,0.0,0.0,131400,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1941-Esto Es Puro Compas-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,2,131386,Enrique Cadícamo,Armando Moreno,Ricardo Malerba,2097,5258140
Tu ... El Cielo Y Tu,Enrique Rodriguez,Unknown,tango,0,0.0,0.0,174300,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/0-Tu  El Cielo Y Tu-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,4650,172805,Unknown,Unknown,Unknown,2098,2669164
Amor En Budapest,Enrique Rodriguez,Unknown,tango,1940,0.0,0.0,163300,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1940-Amor En Budapest-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,3922,160649,Alberto Novarro,Armando Moreno,Erdelyi Mihaly,2099,1240560
Dicen Que Así Soy Yo,Enrique Rodriguez,Unknown,tango,1944,0.0,0.0,170500,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1944-Dicen Que Así Soy Yo-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,105,166620,Unnkown,Armando Moreno,Unnkown,2100,2248960
Uno Que Ha Sido Marino,Enrique Rodriguez,Unknown,tango,1944,0.0,0.0,185200,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1944-Uno Que Ha Sido Marino-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,0,183666,Carlos Alberto Ulloa Díaz,Armando Moreno,Enrique Rodríguez,2101,2938828
Mirame De Frente,Enrique Rodriguez,Unknown,tango,1942,0.0,0.0,163872,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1942-Mirame De Frente-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,211,163849,Carlos Fontana,Armando Moreno,Julián Ortiz ,2102,2637544
La Casita Está Triste,Enrique Rodriguez,Unknown,tango,1946,0.0,0.0,160400,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1946-La Casita Está Triste-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,117,158248,José De Grandis,Fernando Reyes,Luis Bernstein,2103,2031160
En Un Pueblito De España,Enrique Rodriguez,Unknown,vals,1945,54.73533780522506,0.0,155208,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1945-En Un Pueblito De España-ENRIQUE RODRIGUEZ-UNKNOWN-VALS.mp3,0,150948,Rogelio Ferreyra,Armando Moreno,Mabel Wayne,2104,2149792
Vendras Alguna Vez,Enrique Rodriguez,Unknown,tango,1938,0.0,0.0,144117,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1938-Vendras Alguna Vez-ENRIQUE RODRIGUEZ-UNKNOWN-TANGO.mp3,232,144092,Luis César Amadori,Roberto Flores,Alfredo Malerba,2105,2030609
Cancion Del Soltero,Enrique Rodriguez,Unknown,vals,1942,71.84626867863312,0.0,166791,/home/hoonakker/media/tango-propres-HQ/TANGO/ENRIQUE RODRIGUEZ/1942-Cancion Del Soltero-ENRIQUE RODRIGUEZ-UNKNOWN-VALS.mp3,0,166746,Julio Jorge Nelson,Armando Moreno,Roberto Nievas Blanco,2106,6680678
Batacazo,Paulita,Unknown,milonga,0,0.0,0.0,188100,/home/hoonakker/media/tango-propres-HQ/TANGO/PAULITA/0-BATACAZO-PAULITA-UNKNOWN-MILONGA.mp3,0,186824,Unknown,Unknown,Unknown,2107,3020670
Niño Bien,Alberto Vila,Tango Buenos Aires (1904-1950) CD2,tango,2001,0.0,0.0,147800,/home/hoonakker/media/tango-propres-HQ/TANGO/ALBERTO VILA/2001-Niño Bien-ALBERTO VILA-TANGO BUENOS AIRES (1904-1950) CD2-TANGO.mp3,242,143494,Unknown,Unknown,Unknown,2108,5916637
Tres Y Dos,J.J. Mosalin,Unknown,tango,0,0.0,0.0,184900,/home/hoonakker/media/tango-propres-HQ/TANGO/J.J. MOSALIN/0-Tres Y Dos-J.J. MOSALIN-UNKNOWN-TANGO.mp3,0,183527,Unknown,Unknown,Unknown,2109,2962642
Milonga Lunfarda,Edmundo Rivero,Unknown,milonga,0,0.0,0.0,128800,/home/hoonakker/media/tango-propres-HQ/TANGO/EDMUNDO RIVERO/0-Milonga lunfarda-EDMUNDO RIVERO-UNKNOWN-MILONGA.mp3,0,127080,Unknown,Unknown,Unknown,2110,2069836
